,plant_name,light,poison,temperature
0,Aglaonema,They live in low-light conditions and are popular houseplants,Aglaonema plants are poisonous due to calcium oxalate crystals,Chilling injury can begin at 15 °C (59 °F)
2,Anthurium,Indoors plants thrive at temperatures between 16–22 °C (61–72 °F) and at lower light than other house plants,Anthurium plants are poisonous due to calcium oxalate crystals,Indoors plants thrive at temperatures between 16–22 °C (61–72 °F) and at lower light than other house plants
3,Aphelandra_squarrosa,"Plant care This plant flourishes in abundant, but not direct, light",not poisonous,The plant flourishes when the temperature is in the range of 18-21 °C (65-70 °F); and will suffer if the temperature drops below 15 °C (60 °F) for prolonged periods
4,Araucaria_heterophylla,"From the straight trunk, it emits its branches almost horizontal or slightly oblique, in number of five, forming floors; the plane of each floor is a perfect pentagon",not poisonous,In summer it must not be exposed to the blazing sun; the temperature should not exceed 18 °C (64 °F)
6,Aspidistra_elatior,"It is tolerant of low light, low humidity, temperature fluctuation and irregular watering",not poisonous,"Tolerant of neglect, it is widely cultivated as a houseplant, but can also be grown outside in shade where temperatures remain above −5 °C (23 °F)"
9,Calathea,"(1829): ""zebra plant""  Cultivation Like the shady floors of the tropical canopies, this genus prefers low to medium light",not poisonous,Calatheas prefer temperatures 60° F / 15°C and above to support healthy growth
10,Chamaedorea_elegans,"The small, light yellow, yellow, or orange-red odorous flowers appear on irregularly branched petioles that grow below or among the leaf",not poisonous,"In winter, it is preferable that the temperature of the room it's housed in does not drop below 12-14°C"
12,Chlorophytum_comosum,4 in) long and slightly hooded or boat-shaped at their tips,not poisonous,"They will tolerate temperatures down to 2 °C (35 °F), but grow best at temperatures between 18 °C (65 °F) and 32 °C (90 °F)"
13,Citrus,"Consistent climate, sufficient sunlight, and proper watering are crucial if the trees are to thrive and produce fruit",not poisonous,"reticulata) tend to be the hardiest of the common Citrus species and can withstand short periods down to as cold as −10 °C (14 °F), but realistically temperatures not falling below −2 °C (28 °F) are required for successful cultivation"
14,Cyclamen,confusum Cyclamen africanum  Series Purpurascens Species in the Cyclamen purpurascens group have flowers with slight or no auricles and round or heart-shaped leaves,not poisonous,"cilicium, tolerate temperatures down to −20 °C (−4 °F)"
16,Dieffenbachia,"They need light, but filtered sunlight through a window is usually sufficient","Its English names, dumb cane and mother-in-law's tongue (also used for Sansevieria species) refer to the poisoning effect of raphides, which can cause temporary inability to speak","Cultivation With a minimum temperature of 5 °C (41 °F), dieffenbachia must be grown indoors in temperate areas"
17,Epipremnum_aureum,"Cultivation and uses In temperate regions it is a popular houseplant with numerous cultivars selected for leaves with white, yellow, or light green variegation",not poisonous,It lives well with a temperature between 17 and 30 °C (63 and 86 °F)
20,Ficus_lyrata,It requires indirect natural light,not poisonous,"It is hardy down to 10 °C (50 °F), so specimens may be placed outside during warm periods"
21,Hippeastrum,"These are light, and easily carried on the surface of water ensuring distribution of the species during the rainy season",not poisonous,"After planting, sprouting requires a warm place (about 20 °C)"
23,Mimosa_pudica,The foliage closes during darkness and reopens in light,not poisonous,"In temperate zones it must be grown under protection, where the temperature does not fall below 13 °C (55 °F)"
26,Cattleya,"Hybrids of Cattleya and other genera are placed in the following nothogenera:  Brassocattleya = Brassavola × Cattleya Brassolaeliocattleya = Brassavola × Cattleya × Laelia Cattleytonia = Cattleya × Broughtonia Rhyncholaeliocattleya = Rhyncholaelia × Cattleya  Cultivation LightCattleyas need light, but not direct sunlight; in case of intense sunlight, shade must be provided",not poisonous,TemperatureDay temperatures must be between 25-30 °C (77-86 °F) and night temperatures not lower than 10-12 °C (50-53
27,Cymbidium,After pollination a glabrous capsule containing many light coloured seeds is produced,not poisonous,Plants need to remain outside in autumn until night temperatures drop to near 0 °C (32 °F)
32,Phalaenopsis,"Phalaenopsis requires high humidity (60–70%) and low light of 12,000 to 20,000 lux",not poisonous,"In nature, Phalaenopsis species are typically fond of warm temperatures, thriving in temperatures around 20 to 35 °C (68–95 °F), but are adaptable to conditions more comfortable for human habitation in temperate zones (15 to 30 °C or 59–86 °F); at temperatures below 18 °C (64"
34,Philodendron,"In this manner, the plant's strategy is to obtain light early in its life at the expense of nutrients","Many botanical sources will indicate that the berries are poisonous, probably due to the oxalate crystals","By the time the spathe is open and the beetles have arrived, the spadix is usually quite hot; up to around 46 °C in some species, but usually around 35 °C"
40,Stephanotis_floribunda,"Grown commercially, the trumpet-shaped blooms are in season year-round, provided they are given enough light and water, and are a popular component of bridal bouquets",not poisonous,"In areas where the outside winter temperature drops below 4 °C (39 °F), Stephanotis floribunda can be wintered over in greenhouse or household settings"
41,Streptocarpus,"As the anthers mature, they open slightly and act like a pepper shaker, which means that not all the pollen is released at once",not poisonous,Temperature: 18 °C-25 °C (64
43,Pilea_peperomioides,"The stem axis is greenish to dark brown, usually simple, often upright straight, slightly lignified at the base",not poisonous,"Cultivation With a minimum temperature of 10 °C (50 °F), in temperate regions P"
50,Zygocactus,"microsphaerica is found at higher altitudes, above 2,200 metres (7,200 ft), in barren rocky habitats, and tolerates higher light levels",not poisonous,"David Hunt describes collecting specimens in conditions of cloud, drizzle and overnight temperatures down to −4 °C (25 °F)"
59,Narcissus_(genus),Leaf colour is light green to blue-green,"Like other members of their family, narcissi produce a number of different alkaloids, which provide some protection for the plant, but may be poisonous if accidentally ingested",4 °C for three hours
60,Hedera_helix,"5 being ideal, prefers moist, shady locations and avoids exposure to direct sunlight, the latter promoting drying out in winter","3 in) in diameter, ripening in late winter, and are an important food for many birds, though somewhat poisonous to humans","The northern and eastern limits are at about the −2 °C (28 °F) winter isotherm, while to the west and southwest, it is replaced by other species of ivy"
